"","X","carat","cut","color","clarity","depth","table","price","x","y","z"
"26255",26255,2,"Good","I","VS1",58.8,65,15708,8.03,8.1,4.74
"6815",6815,1.01,"Fair","E","SI2",64.7,55,4118,6.37,6.3,4.1
"43901",43901,0.29,"Ideal","H","VVS2",61.7,56,511,4.29,4.33,2.66
"15287",15287,1.24,"Very Good","I","VS2",60,58,6134,6.98,7.03,4.2
"23066",23066,2.07,"Premium","H","SI2",59.6,60,11094,8.3,8.24,4.93
"21304",21304,1.58,"Ideal","I","SI1",62.3,55,9457,7.42,7.49,4.64
"9056",9056,0.34,"Ideal","I","SI1",62.8,57,589,4.45,4.43,2.79
"7672",7672,1,"Very Good","H","SI2",59.7,58,4273,6.48,6.55,3.89
"28476",28476,0.32,"Ideal","G","VS2",62.4,55,672,4.39,4.36,2.73
"3924",3924,0.81,"Ideal","H","VVS2",62,57,3497,5.93,5.97,3.69
"18663",18663,1.5,"Ideal","H","SI1",61.6,57,7627,7.34,7.24,4.49
"7790",7790,0.92,"Premium","G","VS2",61.6,62,4287,6.3,6.24,3.86
"46268",46268,0.54,"Ideal","E","VS2",62.2,55,1754,5.21,5.24,3.25
"4271",4271,0.71,"Ideal","D","VS1",61.5,58,3582,5.75,5.77,3.54
"21860",21860,1.23,"Ideal","G","VVS2",62.2,56.1,9921,6.8,6.87,4.25
"15249",15249,1.03,"Ideal","H","VS2",61.2,56,6123,6.5,6.53,3.98
"36516",36516,0.3,"Premium","F","VVS2",61.1,59,945,4.32,4.29,2.63
"36025",36025,0.35,"Ideal","F","VS1",61.4,55,923,4.54,4.58,2.8
"9385",9385,0.32,"Ideal","D","SI1",61.5,56,589,4.39,4.42,2.71
"43463",43463,0.56,"Ideal","I","VS2",62.2,57,1417,5.27,5.28,3.28
"52110",52110,0.7,"Good","D","SI2",59.3,60,2461,5.74,5.8,3.42
"24509",24509,1.5,"Fair","G","VS2",64.4,56,12787,7.16,7.09,4.59
"52102",52102,0.69,"Ideal","F","SI1",61.3,55,2459,5.72,5.74,3.51
"37919",37919,0.41,"Ideal","F","VS1",60.6,57,1007,4.79,4.84,2.92
"13362",13362,0.24,"Very Good","F","VS2",62.9,58,419,3.94,4.01,2.5
"34169",34169,0.33,"Premium","G","VS1",60.8,59,854,4.45,4.43,2.7
"41389",41389,0.42,"Ideal","F","VVS2",60.6,57,1221,4.85,4.82,2.93
"2783",2783,0.9,"Ideal","J","VS2",62.5,57,3255,6.16,6.26,3.88
"30585",30585,0.31,"Ideal","D","VS2",61.5,56,734,4.34,4.37,2.68
"35806",35806,0.31,"Ideal","F","IF",61.2,56,914,4.37,4.39,2.68
"35782",35782,0.32,"Ideal","F","VVS1",61.4,56,912,4.4,4.43,2.71
"22220",22220,1.51,"Good","H","SI1",61.5,61,10277,7.29,7.34,4.5
"39190",39190,0.35,"Ideal","D","VS2",62.4,57,1063,4.56,4.51,2.83
"31154",31154,0.41,"Premium","E","SI1",61,59,755,4.78,4.82,2.93
"4120",4120,0.9,"Very Good","G","SI2",62.4,55,3539,6.13,6.17,3.84
"46811",46811,0.51,"Premium","D","VS2",62,59,1807,5.12,5.08,3.16
"599",599,0.7,"Premium","F","VS2",61.7,58,2838,5.69,5.63,3.49
"26767",26767,2.45,"Ideal","F","SI2",62,55,16589,8.67,8.64,5.36
"36878",36878,0.42,"Ideal","E","VS2",62.1,56,958,4.77,4.8,2.97
"1427",1427,0.7,"Ideal","G","VS1",61.7,56,2972,5.64,5.71,3.5
"37452",37452,0.35,"Premium","E","VS2",59.5,58,984,4.62,4.59,2.74
"9643",9643,1.1,"Premium","D","SI2",62.4,58,4640,6.57,6.6,4.11
"43742",43742,0.51,"Good","H","VS1",63.7,55,1438,5.07,5.1,3.24
"36718",36718,0.42,"Very Good","G","VVS2",61.2,56,954,4.84,4.86,2.97
"34837",34837,0.3,"Premium","H","VVS1",62.6,60,878,4.26,4.21,2.65
"12038",12038,0.4,"Very Good","I","SI1",59.8,57,596,4.8,4.83,2.88
"43701",43701,0.5,"Very Good","F","VS2",61.5,61,1436,5.09,5.12,3.14
"51723",51723,0.7,"Ideal","F","SI1",61.8,55,2401,5.71,5.75,3.54
"53909",53909,0.7,"Very Good","E","SI1",61.2,57,2753,5.68,5.73,3.49
"44793",44793,0.5,"Very Good","E","VS2",61.1,61,1624,5.11,5.13,3.13
"35418",35418,0.4,"Premium","G","SI1",59.3,59,900,4.82,4.8,2.85
"3728",3728,0.36,"Ideal","H","VS2",62.1,55,568,4.57,4.61,2.85
"6086",6086,0.9,"Good","I","VVS1",62.4,61,3972,6.05,6.09,3.79
"18477",18477,1.08,"Premium","G","VS1",63,59,7523,6.56,6.5,4.11
"36461",36461,0.31,"Ideal","D","VS2",62.9,55,942,4.34,4.31,2.72
"6353",6353,0.9,"Very Good","E","SI1",60.1,58,4034,6.25,6.29,3.77
"28095",28095,0.31,"Premium","F","SI1",60.5,60,663,4.39,4.37,2.65
"14458",14458,1.37,"Very Good","I","SI2",62.2,59,5834,7.07,7.17,4.43
"45232",45232,0.59,"Ideal","E","VS2",61.4,58,1657,5.38,5.4,3.31
"34001",34001,0.42,"Ideal","G","VS2",62.2,54,847,4.8,4.82,2.99
"21262",21262,1.01,"Premium","F","VVS1",62.8,58,9412,6.39,6.35,4
"39340",39340,0.47,"Premium","E","SI2",58.7,60,1072,5.13,5.09,3
"51239",51239,0.7,"Ideal","I","VVS2",62.1,56,2353,5.65,5.71,3.53
"22694",22694,0.32,"Very Good","E","VS1",64,56,630,4.33,4.36,2.78
"17365",17365,1.01,"Very Good","G","VVS2",63.4,55,6968,6.41,6.34,4.04
"30082",30082,0.32,"Ideal","I","VVS2",62.6,54,720,4.41,4.37,2.75
"16236",16236,1.38,"Very Good","J","VS2",62.7,56,6494,7.06,7.11,4.44
"47224",47224,0.51,"Ideal","G","VVS1",60.8,56,1839,5.21,5.22,3.17
"20735",20735,1.01,"Good","E","VVS2",63.3,55,8976,6.36,6.41,4.04
"18463",18463,1.03,"Very Good","G","VS1",61.3,56.1,7511,6.5,6.52,3.99
"17189",17189,1.02,"Fair","F","VVS2",64.8,58,6863,6.22,6.28,4.05
"11335",11335,1,"Good","E","SI1",62.6,61,4989,6.29,6.32,3.95
"41895",41895,0.56,"Very Good","E","SI2",63.5,57,1259,5.24,5.21,3.32
"27484",27484,2.2,"Ideal","G","SI2",62,57,18168,8.31,8.27,5.14
"5170",5170,0.9,"Very Good","H","SI1",61.7,57,3772,6.21,6.26,3.85
"42301",42301,0.51,"Premium","E","SI2",59.5,60,1294,5.25,5.17,3.1
"9875",9875,1.28,"Good","G","SI2",63.6,57,4679,6.78,6.73,4.29
"19384",19384,1.47,"Very Good","J","VVS2",62.6,60,8055,7.17,7.24,4.51
"48961",48961,0.36,"Ideal","D","SI2",62,56,537,4.56,4.6,2.84
"1571",1571,0.71,"Premium","E","VS1",61.1,58,3006,5.8,5.76,3.53
"45573",45573,0.52,"Ideal","E","VS2",61.1,55,1689,5.2,5.27,3.2
"16824",16824,1.2,"Good","H","VS2",63.3,59,6710,6.74,6.78,4.28
"52649",52649,0.24,"Very Good","E","VVS2",61.6,59,552,3.98,4.01,2.46
"18721",18721,1.4,"Very Good","I","SI1",61.3,59,7644,7.19,7.23,4.42
"30017",30017,0.42,"Premium","G","SI1",62.7,59,717,4.72,4.75,2.97
"8691",8691,1.06,"Ideal","G","SI2",62.2,55,4459,6.53,6.56,4.07
"13089",13089,1.29,"Premium","H","SI2",61,57,5418,7.13,6.95,4.31
"22007",22007,1.26,"Premium","F","VS1",62.7,58,10076,6.93,6.86,4.32
"48277",48277,0.53,"Ideal","D","VS2",62.6,56,1956,5.18,5.14,3.23
"10019",10019,1.11,"Ideal","H","SI2",61.4,57,4709,6.63,6.67,4.08
"38451",38451,0.31,"Ideal","E","VVS1",62.4,56,1028,4.37,4.35,2.72
"53244",53244,0.63,"Ideal","F","VS1",62.3,56,2644,5.46,5.49,3.41
"9564",9564,0.91,"Ideal","E","SI1",61.9,55,4623,6.18,6.22,3.84
"18550",18550,1.21,"Premium","H","VS2",59.9,59,7562,6.94,6.92,4.15
"44012",44012,0.51,"Ideal","G","VS2",62.9,54,1546,5.12,5.08,3.21
"51955",51955,0.57,"Ideal","E","VVS2",62.1,54.6,2442,5.31,5.35,3.31
"4456",4456,1.01,"Very Good","J","VS2",63.3,54,3620,6.42,6.34,4.04
"52630",52630,0.37,"Premium","G","SI1",62.1,60,551,4.54,4.61,2.84
"36314",36314,0.32,"Premium","H","VVS1",62.7,57,936,4.41,4.36,2.75
"51795",51795,0.7,"Ideal","F","SI1",62,55,2415,5.72,5.7,3.54
"39438",39438,0.41,"Ideal","D","VS2",62.8,55,1076,4.73,4.7,2.96
"4996",4996,0.7,"Ideal","F","VVS2",61.9,54.8,3741,5.68,5.72,3.53
"8416",8416,1.02,"Very Good","E","SI2",60.7,62,4404,6.44,6.47,3.92
"51789",51789,0.7,"Fair","H","VS1",65.8,56,2415,5.54,5.49,3.63
"38416",38416,0.35,"Very Good","E","IF",57.9,56,1025,4.71,4.75,2.74
"21509",21509,1.62,"Ideal","I","VS2",62.4,57,9604,7.45,7.51,4.67
"6498",6498,0.89,"Ideal","G","VVS2",61.7,55,4062,6.22,6.19,3.83
"15437",15437,1.05,"Premium","G","VS2",62.8,58,6181,6.48,6.44,4.06
"14001",14001,1.19,"Premium","H","SI1",62.7,61,5698,6.73,6.66,4.2
"44049",44049,0.51,"Very Good","E","VS2",60,57,1549,5.15,5.19,3.1
"37461",37461,0.42,"Ideal","H","VVS2",62.4,56,984,4.8,4.78,2.99
"26283",26283,2.14,"Very Good","I","SI1",61.3,61,15769,8.28,8.32,5.09
"4846",4846,0.79,"Ideal","I","VS2",60.9,56,3710,5.97,5.99,3.64
"45872",45872,0.51,"Premium","D","VS2",62,60,1716,5.07,5.12,3.16
"49544",49544,0.7,"Good","F","SI1",63.1,56,2127,5.63,5.66,3.56
"47073",47073,0.52,"Ideal","D","VS2",61.9,57,1822,5.14,5.17,3.19
"30949",30949,0.32,"Premium","H","SI1",61.3,60,449,4.36,4.42,2.69
"39658",39658,0.42,"Premium","H","VS1",61.7,59,1087,4.83,4.76,2.96
"35355",35355,0.42,"Ideal","D","SI2",62.4,57,898,4.81,4.78,2.99
"49421",49421,0.55,"Ideal","E","VS1",61.2,57,2107,5.3,5.28,3.24
"31511",31511,0.34,"Ideal","G","VS2",62.2,57,765,4.47,4.44,2.77
"22556",22556,1.35,"Ideal","D","VS2",61.3,57,10602,7.09,7.13,4.36
"9816",9816,1.09,"Ideal","G","SI2",61.2,57,4670,6.68,6.63,4.07
"3305",3305,0.8,"Very Good","F","VS2",63.2,55,3369,5.9,5.88,3.72
"11191",11191,1.18,"Premium","H","SI2",58.7,60,4956,7.01,6.93,4.09
"23909",23909,1.5,"Premium","F","SI1",62.2,58,12030,7.34,7.29,4.55
"18044",18044,0.35,"Premium","E","SI1",61.2,58,614,4.53,4.59,2.79
"17500",17500,1.51,"Premium","J","SI1",62.3,58,7034,7.3,7.33,4.56
"29440",29440,0.32,"Very Good","F","VVS2",63.8,55,701,4.33,4.39,2.78
"40546",40546,0.45,"Good","D","VS2",63.7,61,1149,4.81,4.73,3.04
"10439",10439,0.91,"Very Good","F","SI1",62.3,58,4785,6.14,6.19,3.84
"45315",45315,0.32,"Ideal","H","VS1",62.7,56,524,4.39,4.42,2.76
"29322",29322,0.31,"Ideal","H","VS1",62.2,57,698,4.37,4.34,2.71
"36708",36708,0.46,"Ideal","J","VVS1",61.8,56,953,4.93,4.97,3.06
"15715",15715,0.36,"Premium","G","SI2",59.3,59,608,4.66,4.62,2.75
"9263",9263,1.01,"Very Good","E","SI2",63.2,59,4561,6.38,6.34,4.02
"47986",47986,0.24,"Very Good","F","VVS2",58,60,533,4.09,4.12,2.38
"42056",42056,0.47,"Ideal","D","VS2",60.3,57,1270,5.02,5.07,3.04
"11263",11263,0.91,"Premium","E","VS1",62.8,60,4969,6.11,6.08,3.83
"28768",28768,0.31,"Premium","E","VS2",60.6,59,680,4.36,4.39,2.65
"36885",36885,0.51,"Good","I","SI1",63.1,56,959,5.06,5.14,3.22
"773",773,0.7,"Ideal","D","VS2",61,57,2859,5.76,5.74,3.51
"50482",50482,0.55,"Ideal","F","VVS2",62,55,2268,5.26,5.29,3.27
"44960",44960,0.58,"Ideal","G","VS2",61.9,56,1636,5.34,5.38,3.32
"45393",45393,0.54,"Very Good","D","SI1",63.2,55,1667,5.21,5.17,3.28
"46031",46031,0.57,"Ideal","G","VS2",61.6,57,1728,5.36,5.32,3.29
"19787",19787,1.64,"Very Good","F","SI2",63.2,57,8357,7.56,7.47,4.75
"51082",51082,0.72,"Very Good","F","SI1",63.1,55,2333,5.75,5.7,3.61
"24378",24378,0.3,"Ideal","G","VVS2",61.1,58,638,4.33,4.35,2.65
"22265",22265,1.15,"Ideal","F","VS1",61.1,55,10316,6.76,6.82,4.15
"52008",52008,0.6,"Ideal","D","VS2",62,55,2444,5.39,5.42,3.35
"43646",43646,0.5,"Premium","D","SI1",60.3,58,1433,5.12,5.1,3.08
"16676",16676,1.01,"Very Good","E","VS2",61.9,55,6666,6.38,6.44,3.97
"9633",9633,0.92,"Premium","E","SI1",61.7,57,4637,6.32,6.2,3.86
"30612",30612,0.3,"Good","D","SI2",63.4,56,447,4.26,4.29,2.71
"16300",16300,1.01,"Very Good","E","VS2",62.2,58,6522,6.36,6.41,3.97
"5698",5698,1,"Good","E","SI2",63.7,61,3889,6.32,6.27,4.01
"15416",15416,1.05,"Premium","D","SI1",59.3,58,6174,6.74,6.68,3.98
"29304",29304,0.3,"Ideal","I","VS2",62,55,438,4.3,4.35,2.68
"23328",23328,1.28,"Ideal","G","IF",60.8,57,11372,7.02,7.05,4.28
"47389",47389,0.54,"Ideal","E","VS2",62.2,55,1847,5.24,5.21,3.25
"45123",45123,0.52,"Premium","D","SI1",61.5,55,1651,5.21,5.19,3.2
"16380",16380,0.29,"Very Good","E","VVS1",59.5,61,609,4.29,4.31,2.56
"46751",46751,0.51,"Good","G","VVS2",63.3,58,1800,5.04,5.07,3.2
"37177",37177,0.32,"Ideal","D","VS2",62.6,55,972,4.39,4.37,2.74
"5342",5342,1.02,"Good","F","SI2",63.3,61,3811,6.28,6.32,3.99
"16965",16965,1.1,"Very Good","E","VS2",61.9,55,6776,6.61,6.67,4.11
"36050",36050,0.31,"Very Good","G","IF",61.6,55,924,4.38,4.42,2.71
"31408",31408,0.3,"Ideal","G","VVS1",61.8,56,764,4.32,4.36,2.68
"53253",53253,0.72,"Premium","G","VS1",62.3,61,2646,5.73,5.66,3.55
"46732",46732,0.55,"Very Good","D","VS2",62.2,60,1796,5.2,5.25,3.25
"6403",6403,1.01,"Ideal","G","SI2",61.2,57,4038,6.45,6.4,3.92
"32934",32934,0.41,"Ideal","G","VS2",61.7,54,811,4.78,4.81,2.96
"26446",26446,2.02,"Premium","H","VS2",61.3,60,15987,8.16,8.11,4.99
"25083",25083,1.7,"Ideal","G","VS1",62.9,57,13605,7.59,7.52,4.75
"53645",53645,0.73,"Premium","E","SI1",62.7,58,2703,5.76,5.7,3.59
"17641",17641,1.24,"Very Good","G","SI1",61.8,58,7106,6.9,6.96,4.28
"12194",12194,1.01,"Ideal","H","SI1",62.1,59,5189,6.38,6.43,3.98
"53070",53070,0.75,"Ideal","E","SI2",61.7,55,2609,5.9,5.86,3.63
"15929",15929,1.1,"Very Good","G","VS2",61.9,57,6369,6.59,6.65,4.1
"48788",48788,0.62,"Very Good","D","VS2",59,59,2022,5.59,5.66,3.32
"5863",5863,0.88,"Premium","F","VS1",60.7,55,3921,6.28,6.22,3.79
"22137",22137,1.2,"Premium","G","IF",59.4,61,10169,6.95,6.92,4.12
"22911",22911,1.51,"Premium","G","SI1",62.7,58,10951,7.3,7.25,4.56
"16170",16170,1.34,"Very Good","G","SI2",62.2,56,6463,7,7.08,4.38
"18084",18084,1.5,"Good","J","VS2",63.6,58,7308,7.23,7.2,4.59
"34994",34994,0.46,"Ideal","F","SI2",61.4,56,881,4.97,5,3.06
"11466",11466,1.09,"Good","H","SI1",63.6,56,5010,6.56,6.53,4.16
"19259",19259,1.55,"Ideal","J","SI1",61.7,54,7987,7.47,7.5,4.62
"26067",26067,2.11,"Fair","I","SI1",67.2,60,15282,7.86,7.8,5.26
"52558",52558,0.7,"Premium","G","VS1",62.6,60,2535,5.66,5.58,3.52
"48462",48462,0.56,"Ideal","G","VVS2",61.6,56,1976,5.29,5.32,3.27
"38564",38564,0.5,"Ideal","H","SI1",61.7,58,1035,5.07,5.11,3.14
"27444",27444,2.11,"Very Good","F","SI2",63.5,55,18071,8.08,8.13,5.15
"1516",1516,0.91,"Fair","F","SI2",65.3,51,2996,6.05,5.98,3.93
"14128",14128,1.13,"Premium","H","VS2",61.7,56,5728,6.73,6.65,4.13
"32675",32675,0.31,"Ideal","G","VS1",62.5,57,802,4.37,4.34,2.72
"21813",21813,1.24,"Very Good","F","VS1",59,60,9885,7,7.07,4.15
"52331",52331,0.73,"Premium","I","VVS2",61.5,58,2496,5.73,5.78,3.54
"36377",36377,0.37,"Premium","D","VS1",61.9,58,941,4.56,4.62,2.84
"34120",34120,0.38,"Ideal","E","VS2",62,56,853,4.62,4.66,2.88
"26548",26548,2.01,"Good","F","SI2",64.1,57,16231,7.82,7.78,5
"45376",45376,0.7,"Very Good","I","VS2",62.2,59,1666,5.64,5.71,3.53
"6170",6170,0.9,"Very Good","I","VS2",59.3,59,3992,6.27,6.3,3.73
"14586",14586,1.05,"Premium","H","VS1",60.1,57,5886,6.62,6.59,3.97
"26209",26209,1.89,"Very Good","D","SI2",62.7,58,15594,7.75,7.81,4.88
"31591",31591,0.3,"Ideal","J","SI1",62.3,57,367,4.27,4.3,2.67
"26953",26953,1.75,"Premium","F","VS2",61.4,58,17017,7.72,7.76,4.75
"48920",48920,0.7,"Very Good","J","VVS1",63.3,55,2042,5.63,5.68,3.58
"42606",42606,0.32,"Premium","H","VS2",60.7,60,505,4.39,4.41,2.67
"7445",7445,0.9,"Premium","F","SI1",59.9,59,4232,6.26,6.29,3.76
"25844",25844,1.71,"Very Good","H","VVS2",61.2,62,14893,7.59,7.65,4.66
"14465",14465,1.12,"Ideal","H","SI1",61.8,56,5838,6.67,6.69,4.13
"25042",25042,0.3,"Ideal","F","SI1",62.3,54,641,4.3,4.27,2.67
"23117",23117,1.31,"Ideal","G","VVS1",61.1,57,11146,7.01,7.06,4.3
"6037",6037,0.25,"Ideal","F","VVS1",60.9,57,575,4.06,4.09,2.48
"26640",26640,2.03,"Very Good","E","SI2",63.7,58,16412,7.91,7.94,5.05
"15474",15474,1,"Very Good","D","SI1",60.3,58,6196,6.44,6.49,3.9
"28650",28650,0.31,"Very Good","I","VS2",62.3,57,435,4.32,4.35,2.7
"9529",9529,1.01,"Very Good","H","SI1",60.2,60,4617,6.5,6.48,3.91
"8189",8189,1.04,"Ideal","H","SI2",61.8,55,4368,6.54,6.5,4.03
"27831",27831,0.31,"Very Good","G","VVS2",62.2,56,651,4.31,4.34,2.69
"12991",12991,1.02,"Ideal","G","SI1",61.5,57,5398,6.54,6.44,3.99
"28671",28671,0.24,"Ideal","F","VVS2",61.7,55,678,3.99,4.02,2.47
"3926",3926,0.74,"Ideal","E","SI1",60.8,56,3497,5.85,5.89,3.57
"41515",41515,0.44,"Ideal","D","VS1",61.3,56,1235,4.87,4.92,3
"40798",40798,0.43,"Ideal","F","VVS2",62.2,55,1169,4.83,4.85,3.01
"39262",39262,0.38,"Ideal","E","VS1",61.6,56,1069,4.66,4.62,2.86
"8085",8085,1.01,"Premium","D","SI2",62.6,60,4338,6.4,6.37,4
"23774",23774,1.22,"Premium","F","VVS1",61.9,58,11830,6.85,6.81,4.23
"16419",16419,1.17,"Ideal","H","VS2",62.4,58,6558,6.73,6.71,4.19
"12743",12743,0.91,"Good","F","VVS2",64,61,5317,6.06,6.13,3.9
"32795",32795,0.31,"Ideal","D","VS2",60.2,56,804,4.46,4.41,2.67
"6997",6997,1,"Good","F","SI2",63.8,58,4155,6.33,6.28,4.02
"25657",25657,2.01,"Premium","I","SI1",60.1,59,14558,8.24,8.19,4.94
"6363",6363,0.32,"Ideal","I","VS2",63,57,576,4.37,4.33,2.74
"16589",16589,1.02,"Premium","F","VS2",61.8,56,6626,6.54,6.46,4.02
"44193",44193,0.51,"Very Good","D","SI1",62.3,57,1569,5.08,5.13,3.18
"26056",26056,2,"Ideal","I","SI1",62.8,56,15258,8.04,7.95,5.02
"8160",8160,1.1,"Good","D","SI2",57,62,4361,6.91,6.84,3.92
"45805",45805,0.5,"Premium","F","VS1",62,58,1710,5.03,5.1,3.14
"7410",7410,0.33,"Very Good","E","SI1",60.6,60,579,4.41,4.44,2.68
"38972",38972,0.4,"Very Good","E","VS1",62.8,59,1053,4.63,4.67,2.92
"17238",17238,1.42,"Very Good","I","VS1",60.1,65,6894,7.28,7.2,4.35
"34534",34534,0.33,"Very Good","G","VVS1",62.8,59,868,4.38,4.44,2.77
"13754",13754,1,"Premium","F","VS2",61.9,59,5606,6.38,6.34,3.94
"4349",4349,0.72,"Ideal","E","VS2",61.5,56,3601,5.77,5.81,3.56
"9462",9462,0.9,"Very Good","G","VS2",62.5,57,4600,6.12,6.14,3.83
"50317",50317,1.06,"Fair","I","I1",64.5,57,2239,6.47,6.33,4.13
"34531",34531,0.33,"Ideal","G","VVS1",62,56,868,4.45,4.48,2.77
"47965",47965,0.52,"Ideal","D","VS2",61.8,57,1919,5.2,5.16,3.2
